#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search =  tess2018319112539
#Sectors = S0005-S0005
#Created Date = 2019-02-27
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00001220444-02,1220444,2,2,5730,4.06693,7.16106,0.000846044,9.64496,1.25081,0.0569537,9.5937,0.073322,1.55123,3008.07,93.4323,3.57094,1442.59,0.00107566,0.637676,0.853611,2.30742,3.43472,4,13.1357,29.2543,18.4389,1162.97,432.306
00013021029-01,13021029,1,1,6320,4.25771,3.85575,0.000218892,13.8214,0.233432,0.0930917,8.19974,0.0514625,1.36,9916.81,154.211,3.93825,1439.12,0.000818125,0.336951,0.00999983,2.5859,0.54583,7,7.01807,45.6206,19.998,1433.62,998.283
00013062255-01,13062255,1,1,5098,3.55581,1.65139,-1,17.721,-1,0.0635236,3.86716,0.0259792,2.55535,404286,0,3.5,1439.05,-1,0.215625,0.1,4.78354,0.85556,0,52.44,86.5025,30.2139,2231.02,5855.16
00013062697-01,13062697,1,2,4167,1.43966,10.4407,0.00221376,84.1764,42.7187,0.0304851,25.7477,0,25.293,1170.26,86.2829,3.19294,1447.85,0.00155402,0.0945127,0.00999983,9.88956,5.26666,2,0.5053,13.0673,10.4192,0,0
00013062697-02,13062697,2,2,4167,1.43966,10.4396,0.00318922,182.434,146.243,0.0660698,5.79502,0,25.293,1645.01,86.5722,5.52472,1442.67,0.00348673,2.76236,0.990105,2.5882,6.59166,3,0.16857,11.3842,8.59894,0,0
00013070701-01,13070701,1,3,6215,4.26712,0.207065,3.87329e-006,22.0165,22.4824,0.151338,1.85194,0.00727886,1.33259,12027.3,591.795,0.648313,1438.03,0.000146021,0.324156,0.963558,7.00645,0.15104,127,47.1607,14.7261,2.99954,3710.65,44804.2
00013070701-02,13070701,2,3,6215,4.26712,0.207035,1.93275e-006,18.9015,18.9078,0.129926,5.01228,0.00727817,1.33259,16985.3,346.117,0.280831,1438.18,4.62475e-005,0.0608735,0.713337,11.5277,0.10706,128,92.7835,28.4612,4.18849,3710.82,44812.8
00013070701-03,13070701,3,3,6215,4.26712,0.207112,4.44758e-006,24.1052,26.055,0.165696,1.91396,0.00727997,1.33259,14378.7,1148.17,0.647673,1438.07,0.000483492,0.323837,0.96182,4.15297,0.06875,127,35.2694,10.8501,2.73647,3710.36,44790.6
00013135572-01,13135572,1,2,5705,4.13373,0.398428,-1,8.60679,-1,0.0550603,2.22229,0.0106635,1.43186,494292,0,1.5,1438.07,-1,0.0848918,0.1,198.083,0.20139,0,3516.72,118.842,26.6212,2917.08,17112.6
00013135572-02,13135572,2,2,5705,4.13373,0.398343,-1,4.19009,-1,0.0268053,6.24854,0.010662,1.43186,837.808,-1,0.5,1438.27,-1,0.0132917,0.1,1.41253,-0.07083,66,15.9251,11.4287,3.64277,2917.29,17117.4
00013223161-01,13223161,1,1,3532,4.84883,0.673922,0.000149335,2.47253,6.33993,0.0559221,1.71202,0.011293,0.405,1333.77,188.211,1.38166,1438.11,0.00322634,0.690828,0.988754,2.16458,0.3375,39,26.0279,8.17994,3.55675,933.332,179.335
00013325340-01,13325340,1,2,5774,4.34605,0.446551,-1,30.1413,-1,0.244045,2.91482,0.0115739,1.13133,345670,0,1.5,1438.15,-1,0.306269,0.1,3.34049,0.32711,0,13043.3,520.614,107.811,2518.97,9515.16
00013325340-02,13325340,2,2,5774,4.34605,3.12639,-1,5.12326,-1,0.0414815,2.43782,0.0423571,1.13133,2009.84,-1,10.5,1439.69,-1,0.44791,0.1,17.3555,2.23194,8,2.66044,19.724,8.241,1316.74,710.43
00013345143-01,13345143,1,1,5976,3.75325,11.4969,0.00647164,47.9571,7.35491,0.19051,5.32646,0.102924,2.30586,38721.5,5717.4,17.1301,1440.25,0.00977394,4.08972,0.604504,11.0029,-2.03611,3,0.88857,15.4079,13.5741,1248.13,573.545
00138767755-01,138767755,1,1,3395,4.91729,12.8909,0.00265475,2.65302,1.1386,0.0729783,82.2216,0.0747145,0.333,6265.86,1093.11,1.28254,1445.99,0.0019891,0.0876232,0.068712,4.69516,-2.34028,2,1.60211,11.0047,9.41853,316.265,2.36443
00138798618-01,138798618,1,1,3908,4.7029,17.2083,0.00240409,5.87054,0.879186,0.091143,21.6913,0.112508,0.59,9875.33,735.545,6.61548,1439.01,0.00167343,0.552997,0.00999983,7.069,0.8,2,0.00043,22.9769,17.2081,394.895,5.74706
00138826437-01,138826437,1,1,3676,4.78691,12.9154,0.00208654,4.15959,1.73665,0.0793793,106.977,0.0863692,0.48,7400.8,1085.85,0.995404,1444.57,0.00138758,0.0732283,0.0182581,4.40219,7.64722,2,8.09943,12.0578,12.2787,382.392,5.05307
00013883872-01,13883872,1,1,5914.2,4.14,13.4299,0.00706752,3.21125,2.03241,0.0245268,23.2159,0.0993478,1.19931,688.621,85.0344,4.34456,1444.09,0.0049963,0.113354,0.289662,3.1225,4.95972,2,0.95027,7.39135,5.67767,906.723,159.742
00139528693-01,139528693,1,1,6100,4.09837,2.17532,0.00013008,14.7593,0.238345,0.0844976,3.84892,0.0346503,1.6,8228.73,132.228,4.74498,1438.2,0.000842172,0.37802,0.0304211,0.91889,1.57083,13,188.433,27.8521,10.8831,1829.06,2645.04
00013957444-01,13957444,1,2,6313.7,4.17,3.74051,1.2865e-005,63.4038,9.80238,0.380583,7.87331,0.0509117,1.52603,83148.4,76.3861,3.80278,1441.44,3.96066e-005,1.90139,0.910631,259.132,1.80556,7,219358,1103.5,687.363,1525.28,1279.13
00013957444-02,13957444,2,2,6313.7,4.17,3.7404,5.57883e-005,29.6839,5.68172,0.178179,5.14925,0.0509108,1.52603,13817.2,54.0547,3.62078,1439.51,0.00021432,1.81039,0.990105,2.17288,1.65417,7,21.1717,276.053,115.733,1525.29,1279.18
00139701741-01,139701741,1,1,6695,4.19864,2.63055,-1,10.2052,-1,0.0595344,4.75116,0.0419469,1.57018,562248,0,4.5,1438.73,-1,0.258893,0.1,4.14572,1.38472,0,74.9135,37.0116,13.9547,1807.45,2522.26
00139702105-01,139702105,1,1,5264.8,3.54,14.7852,0.00363231,3.47664,4.27834,0.0237899,55.2697,0.0719145,1.33864,644.428,85.7558,1.89192,1444.06,0.00259859,0.0540743,0.437305,3.06301,-1.45972,2,0.30438,7.93926,5.88459,1002.3,238.513
00139703005-01,139703005,1,2,5235,4.06719,0.331878,-1,5.44885,-1,0.0344387,2.68119,0.00904291,1.44929,313167,0,1,1438.27,-1,0.0352768,0.1,61.1786,0.1666,0,58.3389,32.8413,5.96625,2924.37,17284.2
00139703005-02,139703005,2,2,5235,4.06719,0.331924,-1,3.97457,-1,0.0251207,5.20867,0.00904374,1.44929,355063,0,0.5,1438.11,-1,0.0125241,0.1,23.4643,-0.0625,0,32.9501,9.92323,2.2447,2924.23,17281
00139732428-01,139732428,1,1,7526,3.93554,3.33194,-1,84.4174,-1,0.3287,6.78932,0.0525396,2.3525,217778,0,5,1438.43,-1,1.25351,0.1,4.08934,0.66667,0,1.32166e+006,4890.04,2510.04,2222.17,5762.77
00139733308-01,139733308,1,1,5304,4.53252,9.52715,0.0012411,10.0818,0.376867,0.106149,27.1753,0.0862284,0.87,13453.5,373.131,2.96296,1445.9,0.000887608,0.284535,0.018152,2.5005,6.52639,2,2.32747,37.4037,27.2314,743.413,72.184
00140209204-01,140209204,1,1,6078,4.29071,1.37639,-1,48.4423,-1,0.351008,4.12455,0.0252982,1.26417,375827,0,3.5,1438.58,-1,0.92906,0.1,3.40546,0.40139,0,27135,1484.46,411.467,1895.88,3053.26
