#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018235142541 
#Sectors = s0002-s0002
#Created Date = 2018-12-11
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00115693377-01,115693377,1,2,5987,4.30697,4.92793,0.000103007,34.6036,35.1011,0.259567,11.4619,0.0585824,1.22115,36552.1,358.063,2.75047,1356.64,0.000299829,1.37524,0.944057,8.74179,2.49722,6,352.61,87.4088,50.8416,1206.15,500.183
00115693377-02,115693377,2,2,5987,4.30697,4.92856,0.000900518,10.8317,14.9407,0.0812502,7.13963,0.0585875,1.22115,3462.98,343.396,2.48211,1354.21,0.00264829,1.24106,0.975717,2.6535,-0.88899,6,18.4218,9.38276,6.22664,1206.1,500.097
00116417661-01,116417661,1,2,6071,4.07477,2.27768,3.72849e-006,64.561,9.44411,0.365294,5.95767,0.0353637,1.61892,151478,89.0726,3.98634,1354.57,2.40322e-005,1.10586,0.187885,294.499,1.14305,12,11338.4,2440.99,781.089,1812.53,2550.74
00116417661-02,116417661,2,2,6071,4.07477,2.27765,2.25676e-005,25.0342,3.66239,0.141646,3.99281,0.0353634,1.61892,20200.2,71.1478,3.87238,1355.71,0.000139902,0.985294,0.744086,3.98207,-0.36806,12,3221.38,236.641,82.9463,1812.54,2550.78
00117546012-01,117546012,1,1,3524,4.85444,15.4801,0.000688908,19.8098,22.8964,0.453645,45.3274,0.0908918,0.4,119114,2470.83,3.0018,1364.04,0.000484737,1.5009,0.888876,2.60798,-1.96944,2,12710,117.37,163.548,326.209,2.6761
00117549840-01,117549840,1,2,3587,4.82431,0.666011,1.38061e-006,23.8848,4.31631,0.504115,5.41595,0.0115143,0.434,191184,518.074,1.24926,1354.69,3.24097e-005,0.624628,0.749999,326.229,0.37299,41,6247.22,274.329,48.1477,971.736,210.724
00117549840-02,117549840,2,2,3587,4.82431,0.666013,1.47659e-006,26.8702,7.97094,0.567125,5.34009,0.0115144,0.434,172159,296.891,1.25456,1354.36,3.44134e-005,0.627281,0.897168,5.69388,0.42845,41,5942.82,522.317,103.575,971.736,210.724
00117611856-01,117611856,1,2,5392,4.60977,14.3689,0.00568229,2.56092,0.91427,0.0295322,19.6197,0.113247,0.794325,1034.58,85.5171,5.71144,1364.75,0.00399386,0.167027,0.137256,3.13163,-1.43889,2,16.5529,11.8506,12.8548,630.126,37.259
00117611856-02,117611856,2,2,5392,4.60977,11.0148,0.00282368,2.04705,3.48836,0.0236063,35.3873,0.0948551,0.794325,658.014,94.35,2.38677,1355.69,0.00360783,0.0573313,0.201449,3.53523,6.45833,3,5.6757,7.78423,6.28192,688.51,53.1084
00117874958-01,117874958,1,1,3129,4.438,9.50888,0.00479052,14.3288,1.5959,0.131253,25.7728,0.0878837,1,20509.8,3726.25,3.18954,1362.79,0.00327904,0.370225,1.21177e-006,3.55772,6.98611,2,14.8918,12.6008,13.1603,465.74,11.1197
00117874959-01,117874959,1,1,3524,4.438,9.46005,0.00304937,7.36137,2.74063,0.0674305,46.17,0.0875825,1,5416.09,961.368,1.66909,1362.82,0.00207441,0.105711,0.0508914,4.02318,-1.14861,2,19.1151,14.6405,15.7759,525.435,18.0135
00118327550-01,118327550,1,1,3342,4.438,7.39559,0.00144701,3.39951,2.78225,0.0311397,37.3816,0.0743254,1,1012.48,133.865,1.1494,1357.37,0.00268966,0.0656759,0.696551,2.82769,2.78194,4,4.51237,8.29432,5.33741,540.916,20.2321
00118826280-01,118826280,1,1,5584,4.438,0.246589,2.66094e-006,48.2067,8.82039,0.334274,1.70662,0.00926986,1.321,50678.6,1047.06,1.33316,1354.24,0.000101764,0.666578,0.975471,56.6186,0.12258,111,128.241,49.3959,6.50337,2941.39,17690.1
00120414806-01,120414806,1,2,6567,4.21428,2.55278,-1,29.8154,-1,0.180747,11.4925,0.0405604,1.51101,636606,0,2,1355.95,-1,0.309495,0.1,114.95,1.27361,0,11010.7,391.844,164.848,1768.65,2312.53
00120414806-02,120414806,2,2,6567,4.21428,2.55359,0.000662803,51.0313,50.4003,0.309362,1.65998,0.040569,1.51101,104541,7784.73,17.1616,1355.75,0.00897632,5.26916,0.439031,64.1853,0.42361,11,15.0655,45.7685,19.8132,1768.46,2311.55
00120566395-01,120566395,1,1,5670,4.36574,0.897866,2.34885e-005,13.1636,14.1355,0.11048,2.76398,0.0182755,1.09141,5352.16,99.9333,1.36758,1354.13,0.000410818,0.683791,0.985694,3.35364,0.11389,31,399.506,53.2084,15.0316,1933.46,3302.63
00120585579-01,120585579,1,2,6083,4.28983,6.34032,0.000366583,20.5179,20.519,0.148385,13.1066,0.0700808,1.2666,25410.7,265.386,4.24931,1357.78,0.000676943,0.550003,0.00778719,5.2665,3.15972,4,4.02461,95.5335,48.5732,1141.12,400.72
00120585579-02,120585579,2,2,6083,4.28983,19.0331,0.0141531,7.8857,7.95961,0.0570293,18.3044,0.145836,1.2666,2724.68,529.284,4.01292,1360.94,0.00977191,1.36069,0.928885,3.16943,12.7069,2,5.47537,7.18367,6.49929,791.038,92.5361
00120607386-01,120607386,1,1,6445,4.07035,14.4116,0.00156757,36.7902,4.9612,0.193072,34.6623,0.126771,1.74546,38625.6,3493.98,3.13384,1361.61,0.0011552,0.855545,0.671248,7.4195,2.07917,2,0.58648,11.6612,11.6197,1055.26,293.064
00120610833-01,120610833,1,1,5100,4.4651,3.12607,0.000110907,11.3697,0.20414,0.113203,10.0256,0.0404308,0.92,11367.3,238.259,1.69378,1354.77,0.000560645,0.584295,0.859163,3.10276,1.22083,9,24.075,65.7717,25.536,1073.49,313.848
00012359032-01,12359032,1,1,5454,4.40886,19.5044,0.006287,5.56766,5.63742,0.050504,24.2329,0.139645,1.00982,3026.3,486.506,6.45898,1357.52,0.00438649,0.31093,0.0285061,4.11482,0.78056,2,0.00975,16.5542,13.9699,647.166,41.4556
00012393800-01,12393800,1,1,5283,4.1345,12.1933,0.00161524,10.6512,2.68048,0.0722137,37.8531,0.100427,1.35106,6231.5,641.045,2.63888,1357.93,0.00115843,0.177767,0.000388316,5.89442,-0.62361,2,32.2493,20.5648,21.1985,855.035,126.316
00012418191-01,12418191,1,1,5538,4.3917,12.706,0.00846549,12.9489,13.0175,0.113867,21.9372,0.105735,1.04168,13374.1,1658.43,3.81559,1364.97,0.00601834,0.72185,0.705857,3.57482,0.32083,2,1006.43,36.1972,48.7567,767.015,81.7966
00012418307-01,12418307,1,1,5947,4.438,10.847,0.00914764,12.2701,0.480501,0.112395,6.84743,0.0959463,1,12655.1,741.746,9.95285,1364.74,0.00646599,2.14892,0.756624,2.25309,1.13472,2,591.184,24.569,32.2754,847.18,121.737
00012419331-01,12419331,1,3,3336,4.94683,11.287,0.0249713,12.2613,312.813,0.370675,14.5785,0.0656818,0.303,81511.1,62196.5,6.14298,1361.63,0.0178542,3.07149,0.897739,13.1195,0.47639,2,17.9124,13.4992,17.1122,316.167,2.3615
00012419331-02,12419331,2,3,3336,4.94683,0.262487,9.92229e-006,8.61543,1.89123,0.260454,3.3248,0.00535137,0.303,79202.3,4651.71,0.779653,1354.27,0.000416596,0.164974,0.0151706,14.3445,0.13114,104,59.6977,9.12528,2.85107,1107.66,355.752
00012419331-03,12419331,3,3,3336,4.94683,0.262399,1.2911e-005,15.5277,121.348,0.46942,2.21854,0.00535019,0.303,102894,5080.51,1.18129,1354.14,0.0006616,0.590646,0.961475,0.9995,0.18438,105,77.1938,15.335,3.66668,1107.78,355.91
00012421862-01,12421862,1,1,3763,4.83739,20.4273,0.00331162,1.56249,1.09814,0.0322354,71.9622,0.115704,0.444,1207.67,111.828,2.17855,1356.38,0.00230086,0.0719691,0.237339,2.96411,1.18056,2,1.59112,11.1349,8.56721,325.27,2.64543
00012423815-01,12423815,1,1,3642,4.438,2.83925,0.00030974,20.6701,1.02655,0.189339,14.2102,0.0392607,1,37161.9,2062.7,1.48489,1356.09,0.00147764,0.413459,0.686911,2.61352,-0.70972,9,2.2025,19.2854,7.9407,811.06,102.266
00012423835-01,12423835,1,3,3257,4.98814,14.1286,0.00190508,5.6799,1.02999,0.196333,49.542,0.0720165,0.265,45200.1,2249.8,2.60662,1355.89,0.00133204,0.427832,0.00436267,9.74313,1.74444,2,57.7556,33.4485,35.192,275.687,1.36517
