#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142 
#Sectors = S0001-S0003
#Created Date = 2019-02-12
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00141028198-02,141028198,2,2,8192,4.09456,24.0561,0.0035126,9.80057,6.8374,0.0426786,17.9828,0.205803,2.10348,1657.14,186.698,5.36681,1342.26,0.00459015,1.03101,0.901201,3.71558,2.47222,3,4.28156,9.39424,7.48819,1155.65,421.524
00141096071-01,141096071,1,2,4176,4.58996,1.57113,3.00987e-005,2.89601,3.55803,0.0390711,22.8506,0.0229709,0.678956,1822.59,144.286,0.523515,1325.55,0.000793019,0.0215016,0.295134,9.11601,0.85417,52,49.441,12.3888,3.93221,1001.81,238.045
00141096071-02,141096071,2,2,4176,4.58996,1.57116,4.62442e-005,2.99157,0.891777,0.0403603,12.5141,0.0229712,0.678956,1348.13,181.846,0.496579,1326.41,0.00117095,0.0924249,0.903245,2.79898,-0.32604,51,40.276,9.21632,4.22677,1001.8,238.038
00141127435-01,141127435,1,2,8185,3.75026,56.1683,0.00547878,16.0283,2.35682,0.0469876,39.6262,0.362052,3.12466,1843.68,204.849,4.76931,1348.47,0.00443949,1.9681,0.949904,6.46544,0.73889,2,7.35386,14.0152,13.9963,1061.03,299.52
00141127435-02,141127435,2,2,8185,3.75026,57.1081,0.00584413,12.6921,2.0196,0.0372074,29.1299,0.36608,3.12466,1306.05,212.201,8.64931,1347.99,0.00347111,1.10785,0.861751,4.5501,-8.27083,2,14.6677,9.79209,8.4032,1055.17,292.966
00141152931-01,141152931,1,4,7776,4.30126,0.835709,1.91704e-005,3.46268,1.62144,0.0199675,6.75028,0.0212946,1.5885,444.273,53.0487,0.963789,1326.05,0.000474945,0.019192,0.1,16.2706,0.16483,96,34.7972,8.2136,2.45671,2963.51,18228.4
00141152931-02,141152931,2,4,7776,4.30126,0.835679,4.16513e-005,8.90482,18.6085,0.0513494,2.08985,0.0212941,1.5885,1264.94,321.323,1.23423,1326.11,0.00421531,0.617116,0.990105,8.77118,0.17733,97,75.5147,11.5241,3.23899,2963.55,18229.2
00141152931-03,141152931,3,4,7776,4.30126,0.83581,2.26406e-005,10.7989,11.8962,0.0622716,2.93983,0.0212963,1.5885,2045.02,402.919,0.929703,1325.35,0.00275252,0.464851,0.983278,7.58746,0.59861,97,92.3043,13.1013,3.65551,2963.39,18225.4
00141152931-04,141152931,4,4,7776,4.30126,0.835699,4.8452e-005,7.8618,13.3774,0.0453348,2.76207,0.0212945,1.5885,997.693,284.336,0.832513,1325.98,0.00391494,0.416257,0.990105,6.61926,0.31622,97,72.7468,7.8383,2.76924,2963.52,18228.7
00141184207-01,141184207,1,1,4157,4.438,55.7473,0.00734812,2.8964,2.26506,0.0265311,160.569,0.28574,1,868.188,119.867,2.72166,1348.91,0.00377886,0.070398,0.0281903,3.71269,-1.49444,2,1.20553,8.48373,6.51871,343.152,3.27692
00141212720-01,141212720,1,2,3133,4.438,1.46792,0.000227026,2.3448,1.80211,0.0214785,2.2071,0.0252905,1,547.775,117.716,5.34718,1326.47,0.00632192,0.123785,0.14804,6.54443,0.72218,55,23.7466,9.76726,5.16885,869.308,134.963
00141212720-02,141212720,2,2,3133,4.438,1.46806,0.000235917,10.9688,5.46071,0.100475,1.14328,0.025292,1,4073.48,216.895,11.191,1325.73,0.00767098,5.59548,0.990105,3.02705,1.09301,55,40.4848,9.51029,3.66274,869.282,134.947
00141335886-01,141335886,1,5,3331,4.438,14.707,0.00217452,1.61633,1.49633,0.0148057,30.8828,0.117536,1,257.485,34.8437,3.55832,1337.07,0.00433033,0.0559918,0.27125,4.96752,-0.36944,5,9.62636,16.5284,15.961,428.727,7.98441
00141335886-02,141335886,2,5,3331,4.438,32.1903,0.00396268,2.04692,0.879303,0.0187499,41.4215,0.19814,1,418.899,41.0865,6.03508,1347.29,0.00328424,0.111613,0.068725,8.87344,23.9444,2,1.18911,15.0142,12.9099,330.203,2.80959
00141335886-03,141335886,3,5,3331,4.438,26.7211,0.002688,1.57316,0.334692,0.0144102,38.4227,0.175008,1,232.261,32.4985,4.61261,1339.38,0.00449742,0.0899827,0.52491,8.24962,5.09305,3,1.96169,12.8605,12.7323,351.348,3.60139
00141335886-04,141335886,4,5,3331,4.438,21.812,0.00237527,1.6148,2.3992,0.0147917,61.8725,0.152857,1,254.864,39.0528,2.58128,1327.55,0.00388335,0.0422622,0.333543,6.55163,12.3278,4,0.89774,13.1375,11.5991,375.944,4.72079
00141335886-05,141335886,5,5,3331,4.438,39.0591,0.00343154,1.29824,2.02186,0.0118919,133.844,0.225408,1,165.317,22.9749,2.14868,1361.69,0.00324257,0.0278698,0.30827,7.79207,-2.5,2,0.73799,10.1787,8.63727,309.586,2.17093
00141484981-01,141484981,1,2,8130,4.36343,0.337447,9.24691e-006,2.17322,1.0361,0.0129736,2.85536,0.0119233,1.53441,187.932,14.6225,0.934861,1325.53,0.000612124,0.0125056,0.00999983,17.0181,0.168,240,130.943,14.3415,2.96037,4069.63,64824.6
00141484981-02,141484981,2,2,8130,4.36343,0.337484,7.25957e-006,2.4577,1.41324,0.0146718,2.21959,0.0119242,1.53441,238.807,12.0401,1.19653,1325.36,0.000497312,0.0196177,0.230442,0,0.16806,240,219.316,17.2048,3.67914,4069.48,64815.1
00141526439-01,141526439,1,2,3609,4.73014,52.9182,0.0169445,2.03441,0.613124,0.0363528,27.9568,0.22121,0.512624,1558.17,189.304,14.9852,1327.17,0.0123619,0.526174,0.024873,4.95378,13.9278,2,0.0076,9.90645,8.54649,242.424,0.816254
00141526439-02,141526439,2,2,3609,4.73014,28.3035,0.0122059,1.59529,0.593613,0.0285061,14.914,0.145757,0.512624,956.698,126.102,14.8607,1337.43,0.0161537,0.416065,0.0941451,2.59599,11.4805,3,0.62579,7.49111,5.84206,298.651,1.88008
00141527579-01,141527579,1,1,3570,4.83196,15.0878,0.00119516,1.93147,1.36051,0.041629,56.0663,0.0914432,0.425,2041.06,230.169,2.14142,1328.94,0.0036005,0.0855995,0.00999983,3.95809,0.4375,6,6.0019,9.51157,5.35684,339.609,3.14367
00141531810-01,141531810,1,1,7266,4.19873,0.349376,1.64032e-005,3.70849,1.2935,0.0201465,2.75087,0.0114514,1.68615,369.932,58.192,0.495966,1325.59,0.00048038,0.0483631,0.900025,7.15042,0.14521,231,165.298,8.13826,2.99258,3890.51,54143.5
00141542826-01,141542826,1,1,5259.57,4.69202,56.0664,0.00667568,5.96972,1.33549,0.0796843,107.238,0.271196,0.686244,7574.61,779.096,4.31222,1348.72,0.00623656,0.318295,0.00999983,4.28616,-0.61389,2,0.93368,7.10494,9.22268,369.182,4.39017
00141606986-01,141606986,1,1,5868.9,4.20529,0.343867,3.74457e-007,83.4335,9.64364,0.559402,2.3425,0,1.3662,334123,1096.6,1.86844,1325.47,3.15907e-005,0.833394,0.403503,37.2563,0.15738,235,742.921,49.2776,10.7481,0,0
00141607553-01,141607553,1,2,5993.82,4.3939,55.2229,0.00357097,3.73068,2.41637,0.0319268,170.798,0.287224,1.07036,1179.08,169.779,2.54877,1349.41,0.00258497,0.0788649,0.00999983,5.85465,-0.575,2,0.78929,9.11752,7.93264,510.564,16.0591
00141607553-02,141607553,2,2,5993.82,4.3939,54.1784,0.0110901,6.37414,6.76503,0.0545493,32.6314,0.283591,1.07036,1622.53,277.361,4.9646,1348.49,0.00869467,2.4823,0.979294,4.0201,-1.03472,2,1.21831,9.23115,7.95661,513.824,16.4732
00141608198-01,141608198,1,1,3275,4.438,9.01224,0.000594525,6.60452,1.52653,0.0604977,34.1041,0.0847963,1,4131.43,328.527,1.90119,1329.82,0.00292067,0.14009,0.488012,3.07812,0.74583,9,4.14702,13.5857,5.9656,496.266,14.3344
00141622065-01,141622065,1,1,6640.1,4.23521,1.46396,4.58042e-006,60.8179,10.9545,0.390467,2.11858,0.0273825,1.42674,162140,356.109,7.60242,1326.31,0.00014185,2.90598,0.513991,3.015,1.02401,55,2537.87,220.504,45.8189,2114.96,4728.56
00141622119-01,141622119,1,1,4896,4.50902,51.0411,0.0305288,2.31995,2.38275,0.0257593,21.08,0.250266,0.824976,636.26,97.3272,11.7882,1343.32,0.0218167,0.803991,0.804214,2.10505,6.93333,2,3.93491,7.35107,6.5519,392.241,5.59412
00141624659-01,141624659,1,1,5716.65,4.02548,0.304187,1.50263e-005,3.48372,7.27356,0.0145814,2.32155,0.0108769,2.18848,245.041,36.6062,1.00985,1325.49,0.00123605,0.0169542,0.3,1.36715,0.07778,266,180.504,7.33156,2.75611,3578.1,38737.5
00141708335-01,141708335,1,1,3384,4.92123,4.75987,0.000379987,1.86378,0.328344,0.0520496,7.17435,0.0381837,0.328,2395.6,152.507,2.87367,1328.66,0.00331074,0.598547,0.889352,3.25509,-1.03889,17,46.2773,15.5747,6.82117,437.643,8.66966
00141712167-01,141712167,1,1,5875,4.32736,0.866062,2.66154e-005,1.88972,2.30641,0.0147681,6.97736,0.0181673,1.17212,212.088,25.9472,0.592071,1326.15,0.00107575,0.0237985,0.803799,3.98191,0.43795,94,76.7328,9.51057,3.48243,2082.29,4443.09
00141757920-01,141757920,1,2,7369.05,4.03772,0.327643,1.62373e-005,4.31106,0.988431,0.0248416,1.21881,0.00932245,1.58965,512.037,58.8885,1.27939,1325.55,0.00161362,0.315535,0.955721,12.3851,0.16378,247,124.872,8.31123,2.95841,4246.09,76820.6
00141757920-02,141757920,2,2,7369.05,4.03772,0.327713,1.34334e-005,3.40535,1.66152,0.0196226,2.22116,0.00932378,1.58965,417.443,46.3241,1.06785,1325.38,0.000762798,0.0283318,0.485286,0,0.16385,247,229.699,11.3293,3.5498,4245.79,76798.7
00141769434-01,141769434,1,1,5463,4.407,23.603,0.00438868,3.79195,4.30297,0.0342809,49.5053,0.15871,1.01323,1365.23,232.93,3.58364,1347.53,0.0063213,0.131789,0.319156,4.53401,1.29722,3,2.5605,8.43476,6.99115,609.08,32.5251
00141770299-01,141770299,1,3,6227,4.26512,26.4039,0.0130961,14.5387,20.5342,0.0994795,11.3317,0.184686,1.33872,8494.21,8473.23,11.1275,1328.21,0.0185412,5.56376,0.906076,5.89319,-2.25278,3,17.8223,18.7109,14.0967,739.773,70.7809
00141770299-02,141770299,2,3,6227,4.26512,0.200139,9.36386e-006,3.2163,3.30166,0.0220071,3.14855,0.0071265,1.33872,554.45,73.9025,0.503193,1325.43,0.000230099,0.0113272,0.1,9.95614,0.05833,404,179.349,11.1478,3.94942,3765.97,47536.9
00141770299-03,141770299,3,3,6227,4.26512,0.200155,2.17102e-006,9.41931,9.4219,0.0644506,2.00916,0.00712688,1.33872,4287.21,150.382,0.672567,1325.48,6.12391e-005,0.079506,0.699994,6.78122,0.08348,405,65.2969,16.7098,3.56401,3765.87,47531.8
00141772259-01,141772259,1,1,6971,4.57,4.40781,0.000623288,2.79831,0.656099,0.014807,2.74871,0.0839824,1.73112,247.258,20.3415,12.6663,1328.1,0.0060784,0.195907,0.109012,2.91965,2.11806,18,17.0834,8.87731,3.35125,1396.55,898.973
00141807839-01,141807839,1,1,3474,4.438,14.1738,0.00196211,7.43768,1.39398,0.0681295,71.6555,0.114678,1,4247.54,976.203,0.966729,1366.4,0.00241062,0.204007,0.855395,7.15407,4.8,3,8.27448,12.501,11.1718,452.67,9.92309
00141809359-01,141809359,1,2,4695,4.53314,12.1575,6.97509e-005,30.8932,5.88488,0.364461,19.7962,0.0940816,0.776443,71916.5,302.715,4.72976,1328.1,0.000252688,2.36488,0.921144,61.3424,7.87639,7,133.43,313.415,128.242,595.155,29.6511
00141809359-02,141809359,2,2,4695,4.53314,12.1572,0.000342576,18.841,8.80575,0.222275,13.7817,0.0940801,0.776443,21254.3,285.697,4.92915,1335.97,0.00100635,2.46458,0.980899,2.95385,8.62639,6,582.841,62.2043,37.0895,595.159,29.652
00141865875-01,141865875,1,4,7365,4.438,0.223141,7.65173e-006,2.38527,0.5181,0.0117162,3.06682,0.0109137,1.86486,148.023,13.9232,0.502767,1325.4,0.000343461,0.00795487,0.5,13.663,0.0875,363,261.261,12.0244,2.85604,4248.17,76971.2
00141865875-02,141865875,2,4,7365,4.438,0.22315,6.73103e-006,2.77046,0.509788,0.0136083,1.88115,0.010914,1.86486,168.98,15.9579,0.487814,1325.49,0.000304377,0.0334699,0.9,10.4345,0.08879,362,353.335,12.3545,3.45058,4248.11,76966.8
00141865875-03,141865875,3,4,7365,4.438,0.223131,7.4867e-006,2.63144,0.623368,0.0129254,1.45822,0.0109134,1.86486,152.685,21.2569,0.710948,1325.31,0.00470523,0.04771,0.9,13.8639,0.13333,363,506.946,10.8914,3.64904,4248.23,76975.5
00141865875-04,141865875,4,4,7365,4.438,0.223151,-1,3.93716,-1,0.019339,3.51018,0.010914,1.86486,417.759,-1,0.5,1325.45,-1,0.00984762,0.1,0,0.11158,363,689.392,13.439,4.71054,4248.11,76966.7
00141914082-01,141914082,1,1,4260,4.438,61.3125,0.0120699,17.8141,26.2694,0.168004,42.6622,0.298595,0.971274,11100.3,1829.08,6.80494,1341.76,0.00771971,3.40247,0.990105,6.36662,-5.54861,2,2.07721,22.6016,20.972,339.024,3.12209
